127.0.0.1 - - [12/Apr/2016:13:53:26 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/hybrid-cloud-storage.gif HTTP/1.1" 200 5114
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/cloud-now.gif HTTP/1.1" 200 4642
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/images.jpg HTTP/1.1" 200 19253
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/public-cloud-storage.gif HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_body_top.jpg HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_body_bottom.jpg HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_container_top.jpg HTTP/1.1" 200 14513
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_menu_hover.png HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_content_middle.png HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_content_top.png HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_slider_frame.png HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/read_more.png HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_slider_button.png HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_list.png HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/service_icon.png HTTP/1.1" 200 4749
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_box_bottom.png HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/portfolio_icon.png HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_recent_project_frame.png HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/project_icon.png HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/newsletter_icon.png HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/calendar_icon.png HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/subscribe_icon.png HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:45 +0530] "GET /MeetingSheduling/images/templatemo_content_bottom.png HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:46 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:53:47 +0530] "GET /MeetingSheduling/images/templatemo_slider_button_hover.png HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:08 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:45 +0530] "GET /MeetingSheduling/login.jsp?fname=admin&pass=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:45 +0530] "GET /MeetingSheduling/welcome.html HTTP/1.1" 200 5016
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:45 +0530] "GET /MeetingSheduling/login.jsp?fname=admin&pass=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:45 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:54 +0530] "GET /MeetingSheduling/user.jsp HTTP/1.1" 200 11813
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:54 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:54 +0530] "GET /MeetingSheduling/jsDatePick_ltr.min.css HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:54:54 +0530] "GET /MeetingSheduling/jsDatePick.min.1.3.js HTTP/1.1" 200 26661
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/boxSideWallPx.gif HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/boxTopLeftCorner.png HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/boxBottomLeftCorner.png HTTP/1.1" 200 2904
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/monthForward_normal.gif HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/monthBackward_normal.gif HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/ocean_blue_dayNormal.gif HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/yearForward_normal.gif HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/yearBackward_normal.gif HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/boxTopRightCorner.png HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/boxBottomRightCorner.png HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/closeButton_normal.gif HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:08 +0530] "GET /MeetingSheduling/img/boxTopPx.gif HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:10 +0530] "GET /MeetingSheduling/img/monthBackward_over.gif HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:11 +0530] "GET /MeetingSheduling/img/monthBackward_down.gif HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:11 +0530] "GET /MeetingSheduling/img/ocean_blue_dayOver.gif HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:55:13 +0530] "GET /MeetingSheduling/img/ocean_blue_dayDown.gif HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:56:18 +0530] "POST /MeetingSheduling/register.jsp?staffname=kk&dob=11-MAR-2016&proj=Java&loc=T.Nagar&dsgn=PM&mail=abc@gmail.com&pmail=abc1@gmail.com&mobile=9490904775&user=abc&pass=abc&lat=0&lng=0&hloc=tnagar&type=Two-wheeler HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:21 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:25 +0530] "GET /MeetingSheduling/adminlogin.jsp HTTP/1.1" 200 5493
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:25 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:33 +0530] "GET /MeetingSheduling/admin.jsp?username=admin&psswd=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:34 +0530] "GET /MeetingSheduling/process.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:34 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:38 +0530] "GET /MeetingSheduling/meeting.jsp HTTP/1.1" 200 6918
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:58:38 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:59:08 +0530] "GET /MeetingSheduling/meeting.jsp?proj=Java&loc=T.Nagar&option=TL HTTP/1.1" 200 7338
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:59:08 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:59:15 +0530] "GET /MeetingSheduling/selectuser.jsp?selection=1&selection=2 HTTP/1.1" 200 10897
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:59:15 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:59:45 +0530] "GET /MeetingSheduling/distanceshow.jsp HTTP/1.1" 200 5016
0:0:0:0:0:0:0:1 - - [12/Apr/2016:13:59:45 +0530] "GET /MeetingSheduling/nivo-slider.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [12/Apr/2016:14:00:01 +0530] "POST /MeetingSheduling/commonplaces.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Apr/2016:14:00:25 +0530] "POST /MeetingSheduling/distance.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [12/Apr/2016:14:00:49 +0530] "POST /MeetingSheduling/mail.jsp?date=ert&title=kk&org=3:4&time=14-APR-2016&venue=The%20Residency%20Towers HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [12/Apr/2016:14:01:50 +0530] "POST /MeetingSheduling/commonplaces.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Apr/2016:14:01:53 +0530] "POST /MeetingSheduling/distance.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [12/Apr/2016:14:02:12 +0530] "POST /MeetingSheduling/mail.jsp?date=ert&title=kk&org=3:4&time=14-APR-2016&venue=The%20Residency%20Towers HTTP/1.1" 200 321
